N,array_type,time
8200,reversed,551
8300,reversed,551
8400,reversed,553
8500,reversed,556
8600,reversed,587
8700,reversed,564
8800,reversed,577
8900,reversed,621
9000,reversed,586
9100,reversed,594
9200,reversed,683
9300,reversed,654
9400,reversed,694
9500,reversed,681
9600,reversed,660
9700,reversed,638
9800,reversed,866
9900,reversed,813
10000,reversed,791
10100,reversed,1792
10200,reversed,1569
10300,reversed,1516
10400,reversed,1490
10500,reversed,1518
10600,reversed,1599
10700,reversed,1622
10800,reversed,1659
10900,reversed,815
11000,reversed,797
11100,reversed,821
11200,reversed,913
11300,reversed,1018
11400,reversed,774
11500,reversed,801
11600,reversed,1059
11700,reversed,1062
11800,reversed,825
11900,reversed,789
12000,reversed,986
12100,reversed,1039
12200,reversed,1060
12300,reversed,1006
12400,reversed,996
12500,reversed,988
12600,reversed,909
12700,reversed,930
12800,reversed,930
12900,reversed,905
13000,reversed,923
13100,reversed,903
13200,reversed,943
13300,reversed,901
13400,reversed,925
13500,reversed,933
13600,reversed,996
13700,reversed,1012
13800,reversed,1003
13900,reversed,995
14000,reversed,979
14100,reversed,1005
14200,reversed,1021
14300,reversed,1811
14400,reversed,1103
14500,reversed,1335
14600,reversed,1477
14700,reversed,1212
14800,reversed,1058
14900,reversed,1099
15000,reversed,1174
15100,reversed,2515
15200,reversed,2508
15300,reversed,1291
15400,reversed,3051
15500,reversed,1402
15600,reversed,1142
15700,reversed,1221
15800,reversed,1179
15900,reversed,1163
16000,reversed,1136
16100,reversed,1166
16200,reversed,1124
16300,reversed,1178
16400,reversed,1323
16500,reversed,1310
16600,reversed,1249
16700,reversed,1228
16800,reversed,1226
16900,reversed,1295
17000,reversed,1233
17100,reversed,1196
17200,reversed,1245
17300,reversed,1320
17400,reversed,1257
17500,reversed,1330
17600,reversed,1368
17700,reversed,1637
17800,reversed,1400
17900,reversed,1879
18000,reversed,1339
18100,reversed,1331
18200,reversed,1358
18300,reversed,1303
18400,reversed,1359
18500,reversed,1288
18600,reversed,1339
18700,reversed,1405
18800,reversed,1856
18900,reversed,1489
19000,reversed,1361
19100,reversed,1412
19200,reversed,1620
19300,reversed,1445
19400,reversed,1397
19500,reversed,1705
19600,reversed,1967
19700,reversed,1438
19800,reversed,2132
19900,reversed,1664
20000,reversed,1630
20100,reversed,3483
20200,reversed,3420
20300,reversed,3368
20400,reversed,1435
20500,reversed,1501
20600,reversed,1981
20700,reversed,1766
20800,reversed,1549
20900,reversed,1575
21000,reversed,1646
21100,reversed,1606
21200,reversed,1516
21300,reversed,3470
21400,reversed,3951
21500,reversed,3898
21600,reversed,3915
21700,reversed,3694
21800,reversed,3391
21900,reversed,2227
22000,reversed,1680
22100,reversed,1714
22200,reversed,1671
22300,reversed,1627
