N,area_type,estimated_area,relative_error
37600,tight,0.945501,0.00104167
38100,tight,0.93917,0.00566148
38600,tight,0.94316,0.0014368
39100,tight,0.940954,0.00377253
39600,tight,0.943498,0.00107908
40100,tight,0.956557,0.0127469
40600,tight,0.948731,0.00446138
41100,tight,0.945495,0.00103565
41600,tight,0.942419,0.0022217
42100,tight,0.949812,0.00560596
42600,tight,0.945131,0.000649359
43100,tight,0.948165,0.00386157
43600,tight,0.943377,0.00120758
44100,tight,0.949887,0.00568557
44600,tight,0.948787,0.00452086
45100,tight,0.944826,0.000327128
45600,tight,0.939358,0.00546189
46100,tight,0.949149,0.00490438
46600,tight,0.940307,0.00445719
47100,tight,0.941951,0.0027172
47600,tight,0.951229,0.00710563
48100,tight,0.947911,0.00359297
48600,tight,0.943131,0.00146732
49100,tight,0.952355,0.00829778
49600,tight,0.938291,0.00659221
50100,tight,0.940834,0.0038994
50600,tight,0.941524,0.00316931
51100,tight,0.947227,0.00286879
51600,tight,0.952099,0.00802701
52100,tight,0.949125,0.00487823
52600,tight,0.941291,0.00341523
53100,tight,0.940767,0.00397083
53600,tight,0.945044,0.000557989
54100,tight,0.94765,0.00331635
54600,tight,0.94284,0.0017752
55100,tight,0.939131,0.00570274
55600,tight,0.943664,0.000902892
56100,tight,0.94387,0.000685712
56600,tight,0.9527,0.00866368
57100,tight,0.949744,0.00553436
57600,tight,0.949451,0.00522405
58100,tight,0.943724,0.000839859
58600,tight,0.943516,0.00105995
59100,tight,0.941596,0.00309285
59600,tight,0.946995,0.00262386
60100,tight,0.94266,0.00196621
60600,tight,0.945954,0.001521
61100,tight,0.946594,0.0021984
61600,tight,0.95079,0.00664088
62100,tight,0.945148,0.000668026
62600,tight,0.950935,0.0067953
63100,tight,0.944579,6.51952e-05
63600,tight,0.946001,0.00157142
64100,tight,0.948035,0.00372407
64600,tight,0.946557,0.0021596
65100,tight,0.945284,0.000811559
65600,tight,0.949826,0.00562106
66100,tight,0.949928,0.00572896
66600,tight,0.943507,0.00106931
67100,tight,0.939323,0.00549967
67600,tight,0.948025,0.00371387
68100,tight,0.942678,0.00194772
68600,tight,0.948642,0.00436694
69100,tight,0.946987,0.00261487
69600,tight,0.942005,0.00265973
70100,tight,0.94599,0.0015595
70600,tight,0.943049,0.00155472
71100,tight,0.939055,0.00578276
71600,tight,0.942482,0.0021549
72100,tight,0.946119,0.00169562
72600,tight,0.944421,0.000101466
73100,tight,0.94069,0.00405242
73600,tight,0.944104,0.000437664
74100,tight,0.944233,0.000300527
74600,tight,0.94316,0.00143643
75100,tight,0.947368,0.0030179
75600,tight,0.947585,0.0032478
76100,tight,0.935496,0.00955105
76600,tight,0.941017,0.0037061
77100,tight,0.944033,0.000512962
77600,tight,0.940585,0.00416298
78100,tight,0.947655,0.0033222
78600,tight,0.947196,0.00283569
79100,tight,0.943238,0.00135441
79600,tight,0.943385,0.00119851
80100,tight,0.944353,0.000173372
80600,tight,0.944135,0.000404124
81100,tight,0.94715,0.00278767
81600,tight,0.942424,0.00221664
82100,tight,0.94675,0.00236391
82600,tight,0.948773,0.0045062
83100,tight,0.943716,0.000848754
83600,tight,0.942559,0.00207312
84100,tight,0.941818,0.00285741
84600,tight,0.947019,0.00264906
85100,tight,0.948326,0.00403289
85600,tight,0.948256,0.00395827
86100,tight,0.942494,0.00214207
86600,tight,0.946576,0.00217937
87100,tight,0.946012,0.00158256
87600,tight,0.94858,0.0043015
88100,tight,0.946899,0.00252146
88600,tight,0.947754,0.00342726
89100,tight,0.940577,0.00417165
89600,tight,0.941949,0.00271941
90100,tight,0.939272,0.00555291
90600,tight,0.947239,0.00288213
91100,tight,0.943376,0.00120803
91600,tight,0.940717,0.00402292
92100,tight,0.949079,0.00482983
92600,tight,0.95036,0.00618642
93100,tight,0.943332,0.00125457
93600,tight,0.942121,0.00253712
94100,tight,0.944065,0.000478484
94600,tight,0.938718,0.00613965
95100,tight,0.943041,0.00156256
95600,tight,0.943536,0.00103862
96100,tight,0.944694,0.000187383
96600,tight,0.943688,0.000877574
97100,tight,0.940047,0.00473249
97600,tight,0.947387,0.00303838
98100,tight,0.943489,0.00108902
98600,tight,0.944103,0.000438256
99100,tight,0.942597,0.0020329
99600,tight,0.945874,0.00143651
